INFO 2026-05-13 01:19:33,054 autoreload 23740 7000 Watching for file changes with StatReloader
INFO 2026-05-13 01:21:50,579 log 23740 16204 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:21:50,583 log 23740 15456 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2026-05-13 01:21:50,626 log 23740 15456 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
INFO 2026-05-13 01:21:50,628 log 23740 21028 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1761
INFO 2026-05-13 01:21:50,626 log 23740 16204 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
INFO 2026-05-13 01:21:56,471 log 23740 21028 "GET /admin/authentication/user/3/change/ HTTP/1.1" 200 33157
INFO 2026-05-13 01:21:56,514 log 23740 21028 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:22:17,206 log 23740 21028 "POST /admin/authentication/user/3/change/ HTTP/1.1" 200 33476
INFO 2026-05-13 01:22:17,242 log 23740 21028 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,260 log 23740 16204 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,260 log 23740 21028 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,265 log 23740 25536 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,265 log 23740 15456 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,267 log 23740 24792 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,273 log 23740 21028 "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,273 log 23740 16204 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,281 log 23740 25536 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,281 log 23740 24792 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,283 log 23740 15456 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,284 log 23740 21028 "GET /static/admin/js/SelectBox.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,286 log 23740 16204 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,293 log 23740 24792 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,294 log 23740 17616 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:22:17,293 log 23740 25536 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,302 log 23740 21028 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,303 log 23740 16204 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,305 log 23740 15456 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,307 log 23740 24792 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,311 log 23740 17616 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,321 log 23740 17616 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,323 log 23740 24792 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,324 log 23740 15456 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,361 log 23740 17616 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,361 log 23740 24792 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,361 log 23740 15456 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:22:17,362 log 23740 16204 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:22:27,661 log 23740 16204 "POST /admin/authentication/user/3/change/ HTTP/1.1" 200 33476
INFO 2026-05-13 01:22:27,712 log 23740 16204 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:22:43,982 log 23740 16204 "POST /admin/authentication/user/3/change/ HTTP/1.1" 302 0
INFO 2026-05-13 01:22:44,017 log 23740 16204 "GET /admin/authentication/user/ HTTP/1.1" 200 16797
INFO 2026-05-13 01:22:44,065 log 23740 15456 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2026-05-13 01:22:44,066 log 23740 16204 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-05-13 01:22:44,073 log 23740 16204 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-05-13 01:22:44,076 log 23740 24792 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-05-13 01:22:44,097 log 23740 24792 "GET /static/admin/img/icon-yes-dark.svg HTTP/1.1" 200 558
INFO 2026-05-13 01:22:50,122 log 23740 24792 "GET / HTTP/1.1" 200 18342
INFO 2026-05-13 01:22:52,870 log 23740 24792 "GET /dashboard/ HTTP/1.1" 200 27563
INFO 2026-05-13 01:22:55,591 log 23740 24792 "GET /auth/logout/ HTTP/1.1" 302 0
INFO 2026-05-13 01:22:55,608 log 23740 24792 "GET /auth/login/ HTTP/1.1" 200 16815
INFO 2026-05-13 01:23:10,569 log 23740 24792 "POST /auth/login/ HTTP/1.1" 200 16819
INFO 2026-05-13 01:23:19,717 log 23740 24792 "POST /auth/login/ HTTP/1.1" 200 16819
INFO 2026-05-13 01:23:30,263 log 23740 24792 "POST /auth/login/ HTTP/1.1" 200 16819
INFO 2026-05-13 01:23:36,079 log 23740 24792 "GET /admin/authentication/user/add/ HTTP/1.1" 302 0
INFO 2026-05-13 01:23:36,148 log 23740 24792 "GET /admin/login/?next=/admin/authentication/user/add/ HTTP/1.1" 200 4128
INFO 2026-05-13 01:23:36,189 log 23740 24792 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-05-13 01:23:36,208 log 23740 21028 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-05-13 01:23:36,209 log 23740 15456 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-05-13 01:23:36,209 log 23740 16204 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
